Date,Field,Activity Type,Product,Rate,Rate Unit,Quantity,Quantity Unit,Yield,Yield Unit,Moisture %,Acres,Applicator,Notes
2026-04-23,North center-roselake,fertilize,32-0-0,41.7266,lb/ac,1959.789,lb,,,,46.98,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-23,North center-roselake,fertilize,12-0-0-26 (THIO),6.055,lb/ac,284.385,lb,,,,46.98,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-23,North center-roselake,fertilize,KANZA HUMIC,0.2288,gal/ac,10.747,gal,,,,46.98,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,North east-ClearSky,fertilize,32-0-0,41.2821,lb/ac,2677.558,lb,,,,64.86,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,North east-ClearSky,fertilize,12-0-0-26 (THIO),5.9905,lb/ac,388.541,lb,,,,64.86,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,North east-ClearSky,fertilize,KANZA HUMIC,0.2264,gal/ac,14.683,gal,,,,64.86,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-27,North home,fertilize,32-0-0,74.1181,lb/ac,744.145,lb,,,,10.04,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-27,North home,fertilize,12-0-0-26 (THIO),10.7553,lb/ac,107.983,lb,,,,10.04,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-27,North home,fertilize,KANZA HUMIC,0.4065,gal/ac,4.081,gal,,,,10.04,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-23,North west-LakeCity,fertilize,32-0-0,41.697,lb/ac,1475.843,lb,,,,35.39,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-23,North west-LakeCity,fertilize,12-0-0-26 (THIO),6.0507,lb/ac,214.16,lb,,,,35.39,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-23,North west-LakeCity,fertilize,KANZA HUMIC,0.2287,gal/ac,8.093,gal,,,,35.39,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-02,North west-LiveWater,fertilize,32-0-0,69.6136,lb/ac,6261.96,lb,,,,89.95,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-02,North west-LiveWater,fertilize,12-0-0-26 (THIO),10.1016,lb/ac,908.675,lb,,,,89.95,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-02,North west-LiveWater,fertilize,KANZA HUMIC,0.3817,gal/ac,34.339,gal,,,,89.95,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,North-boone,fertilize,32-0-0,43.5048,lb/ac,2987.248,lb,,,,68.65,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,North-boone,fertilize,12-0-0-26 (THIO),6.313,lb/ac,433.48,lb,,,,68.65,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,North-boone,fertilize,KANZA HUMIC,0.2386,gal/ac,16.382,gal,,,,68.65,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,North-Crooks,fertilize,32-0-0,56.6629,lb/ac,2.789,lb,,,,0.049,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,North-Crooks,fertilize,12-0-0-26 (THIO),8.2224,lb/ac,0.405,lb,,,,0.049,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,North-Crooks,fertilize,KANZA HUMIC,0.3107,gal/ac,0.015,gal,,,,0.049,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,north-wolf,fertilize,32-0-0,42.5268,lb/ac,2575.909,lb,,,,60.57,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,north-wolf,fertilize,12-0-0-26 (THIO),6.1711,lb/ac,373.791,lb,,,,60.57,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,north-wolf,fertilize,KANZA HUMIC,0.2332,gal/ac,14.126,gal,,,,60.57,,"From AgFiniti PDF, page 7, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,South east-LiveWater,fertilize,32-0-0,41.371,lb/ac,1963.049,lb,,,,47.45,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,South east-LiveWater,fertilize,12-0-0-26 (THIO),6.0034,lb/ac,284.858,lb,,,,47.45,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,South east-LiveWater,fertilize,KANZA HUMIC,0.2269,gal/ac,10.765,gal,,,,47.45,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,South wast-FullDraw,fertilize,32-0-0,41.4007,lb/ac,1461.322,lb,,,,35.30,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,South wast-FullDraw,fertilize,12-0-0-26 (THIO),6.0077,lb/ac,212.053,lb,,,,35.30,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-26,South wast-FullDraw,fertilize,KANZA HUMIC,0.227,gal/ac,8.014,gal,,,,35.30,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-01,South-boone,fertilize,32-0-0,57.5816,lb/ac,4632.013,lb,,,,80.43,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-01,South-boone,fertilize,12-0-0-26 (THIO),8.3557,lb/ac,672.153,lb,,,,80.43,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-01,South-boone,fertilize,KANZA HUMIC,0.3158,gal/ac,25.401,gal,,,,80.43,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,South-Crooks,fertilize,32-0-0,55.7146,lb/ac,1085.248,lb,,,,19.48,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,South-Crooks,fertilize,12-0-0-26 (THIO),8.0848,lb/ac,157.481,lb,,,,19.48,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,South-Crooks,fertilize,KANZA HUMIC,0.3055,gal/ac,5.951,gal,,,,19.48,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-27,South-wolf,fertilize,32-0-0,76.0741,lb/ac,654.646,lb,,,,8.61,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-27,South-wolf,fertilize,12-0-0-26 (THIO),11.0391,lb/ac,94.996,lb,,,,8.61,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-27,South-wolf,fertilize,KANZA HUMIC,0.4172,gal/ac,3.59,gal,,,,8.61,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-25,West,fertilize,32-0-0,55.596,lb/ac,2838.775,lb,,,,51.05,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-25,West,fertilize,12-0-0-26 (THIO),8.0676,lb/ac,411.935,lb,,,,51.05,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-05-25,West,fertilize,KANZA HUMIC,0.3049,gal/ac,15.567,gal,,,,51.05,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-06-30,West-LakeCity,fertilize,32-0-0,70.8879,lb/ac,9249.208,lb,,,,130.5,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-06-30,West-LakeCity,fertilize,12-0-0-26 (THIO),10.2866,lb/ac,1342.155,lb,,,,130.5,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-06-30,West-LakeCity,fertilize,KANZA HUMIC,0.3887,gal/ac,50.721,gal,,,,130.5,,"From AgFiniti PDF, page 8, instance 1. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-21,1-lambert,fertilize,32-0-0,58.8855,lb/ac,4288.242,lb,,,,72.82,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-21,1-lambert,fertilize,12-0-0-26 (THIO),8.5449,lb/ac,622.268,lb,,,,72.82,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-21,1-lambert,fertilize,KANZA HUMIC,0.3229,gal/ac,23.516,gal,,,,72.82,,"From AgFiniti PDF, page 8. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,North-Crooks,fertilize,32-0-0,55.8924,lb/ac,2442.253,lb,,,,43.70,,"From AgFiniti PDF, page 8, instance 2. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,North-Crooks,fertilize,12-0-0-26 (THIO),8.1106,lb/ac,354.396,lb,,,,43.70,,"From AgFiniti PDF, page 8, instance 2. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-07-01,North-Crooks,fertilize,KANZA HUMIC,0.3065,gal/ac,13.393,gal,,,,43.70,,"From AgFiniti PDF, page 8, instance 2. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
